model,sample,expected,got,exact,valid_format,vendor_ok,ms
"llama3.2:latest",github-21-jul-26.pdf,github-21-jul-26,github-21-jul-26,1,1,1,4669
"llama3.2:latest",google-30-jun-26.pdf,google-30-jun-26,googlecloud-01-jun-26,0,1,0,489
"llama3.2:latest",huggingface-01-aug-26.pdf,huggingface-01-aug-26,americanexpress-01-aug-26,0,1,0,462
"llama3.2:latest",inngest-01-sep-26.pdf,inngest-01-sep-26,americanexpress-01-sep-26,0,1,0,404
"llama3.2:latest",linear-27-aug-26.pdf,linear-27-aug-26,americanexpress-27-aug-26,0,1,0,459
"llama3.2:latest",neon-01-sep-26.pdf,neon-01-sep-26,neon-01-sep-26,1,1,1,535
"llama3.2:latest",vercel-04-aug-26.pdf,vercel-04-aug-26,vercel-04-aug-26,1,1,1,482
"llama3.2:latest",uber-eats-18-jun-26.pdf,uber-eats-18-jun-26,uber-18-jun-26,0,1,0,548
"llama3.2:latest",woolworths-01-jun-25.pdf,woolworths-01-jun-25,woolworths-03-dec-24,0,1,1,819
"llama3.2:latest",comfort-suites-03-aug-26.pdf,comfort-suites-03-aug-26,americanexpress-17-jun-26,0,1,0,2078
"llama3.2:latest",TOTAL,,,3,10,4,1094
"mistral:latest",github-21-jul-26.pdf,github-21-jul-26,github-21-jul-26,1,1,1,3878
"mistral:latest",google-30-jun-26.pdf,google-30-jun-26,google-01-jun-25,0,1,1,1149
"mistral:latest",huggingface-01-aug-26.pdf,huggingface-01-aug-26,huggingface-01-aug-26,1,1,1,1044
"mistral:latest",inngest-01-sep-26.pdf,inngest-01-sep-26,inngest-01-sep-26,1,1,1,854
"mistral:latest",linear-27-aug-26.pdf,linear-27-aug-26,linear-27-aug-26,1,1,1,945
"mistral:latest",neon-01-sep-26.pdf,neon-01-sep-26,neon-01-sep-26,1,1,1,1191
"mistral:latest",vercel-04-aug-26.pdf,vercel-04-aug-26,vercel-04-aug-26,1,1,1,1125
"mistral:latest",uber-eats-18-jun-26.pdf,uber-eats-18-jun-26,uber-18-jun-26,0,1,0,1162
"mistral:latest",woolworths-01-jun-25.pdf,woolworths-01-jun-25,woolworths--not-25,0,0,0,2324
"mistral:latest",comfort-suites-03-aug-26.pdf,comfort-suites-03-aug-26,choicehotels-03-mar-25,0,1,0,5930
"mistral:latest",TOTAL,,,6,9,7,1960
"gemma2:9b",github-21-jul-26.pdf,github-21-jul-26,github-21-jul-26,1,1,1,4765
"gemma2:9b",google-30-jun-26.pdf,google-30-jun-26,googlecloud-01-jun-26,0,1,0,1705
"gemma2:9b",huggingface-01-aug-26.pdf,huggingface-01-aug-26,huggingface-01-aug-26,1,1,1,1523
"gemma2:9b",inngest-01-sep-26.pdf,inngest-01-sep-26,inngest-01-sep-26,1,1,1,1420
"gemma2:9b",linear-27-aug-26.pdf,linear-27-aug-26,linearorbit-27-aug-26,0,1,0,1603
"gemma2:9b",neon-01-sep-26.pdf,neon-01-sep-26,neon-01-sep-26,1,1,1,1772
"gemma2:9b",vercel-04-aug-26.pdf,vercel-04-aug-26,vercel-04-aug-26,1,1,1,1807
"gemma2:9b",uber-eats-18-jun-26.pdf,uber-eats-18-jun-26,mastercard-19-jun-26,0,1,0,1766
"gemma2:9b",woolworths-01-jun-25.pdf,woolworths-01-jun-25,woolworths---,0,0,0,2689
"gemma2:9b",comfort-suites-03-aug-26.pdf,comfort-suites-03-aug-26,comfortsuites-17-jun-26,0,1,0,7264
"gemma2:9b",TOTAL,,,5,9,5,2631
"deepseek-coder:latest",github-21-jul-26.pdf,github-21-jul-26,github-21--26,0,0,0,2197
"deepseek-coder:latest",google-30-jun-26.pdf,google-30-jun-26,google-15-dec-24,0,1,1,420
"deepseek-coder:latest",huggingface-01-aug-26.pdf,huggingface-01-aug-26,stripe-03-mar-25,0,1,0,366
"deepseek-coder:latest",inngest-01-sep-26.pdf,inngest-01-sep-26,stripe-03-mar-25,0,1,0,326
"deepseek-coder:latest",linear-27-aug-26.pdf,linear-27-aug-26,stripe-27-aug-26,0,1,0,416
"deepseek-coder:latest",neon-01-sep-26.pdf,neon-01-sep-26,stripe-03-mar-26,0,1,0,408
"deepseek-coder:latest",vercel-04-aug-26.pdf,vercel-04-aug-26,vercel-04-aug-26,1,1,1,395
"deepseek-coder:latest",uber-eats-18-jun-26.pdf,uber-eats-18-jun-26,stripe-18-jun-26,0,1,0,400
"deepseek-coder:latest",woolworths-01-jun-25.pdf,woolworths-01-jun-25,woolworths-15-dec-24,0,1,1,531
"deepseek-coder:latest",comfort-suites-03-aug-26.pdf,comfort-suites-03-aug-26,stripe-03-mar-26,0,1,0,1449
"deepseek-coder:latest",TOTAL,,,1,9,3,690
"gemini-flash",github-21-jul-26.pdf,github-21-jul-26,github-21-jul-26,1,1,1,2534
"gemini-flash",google-30-jun-26.pdf,google-30-jun-26,google-cloud-30-jun-26,0,1,0,4674
"gemini-flash",huggingface-01-aug-26.pdf,huggingface-01-aug-26,hugging-face-01-aug-26,0,1,0,2425
"gemini-flash",inngest-01-sep-26.pdf,inngest-01-sep-26,inngest-01-sep-26,1,1,1,2297
"gemini-flash",linear-27-aug-26.pdf,linear-27-aug-26,linear-27-aug-26,1,1,1,3161
"gemini-flash",neon-01-sep-26.pdf,neon-01-sep-26,neon-01-sep-26,1,1,1,2116
"gemini-flash",vercel-04-aug-26.pdf,vercel-04-aug-26,vercel-04-aug-26,1,1,1,2638
"gemini-flash",uber-eats-18-jun-26.pdf,uber-eats-18-jun-26,bossabowls-18-jun-26,0,1,0,2468
"gemini-flash",woolworths-01-jun-25.pdf,woolworths-01-jun-25,---,0,0,0,60038
"gemini-flash",comfort-suites-03-aug-26.pdf,comfort-suites-03-aug-26,comfort-suites-03-aug-26,1,1,1,5372
"gemini-flash",TOTAL,,,6,9,6,8772
