model,sample,expected,got,exact,valid_format,vendor_ok,ms
"google/gemini-2.5-flash",github-21-jul-26.pdf,github-21-jul-26,github-21-jul-26,1,1,1,2056
"google/gemini-2.5-flash",google-30-jun-26.pdf,google-30-jun-26,google-cloud-30-jun-26,0,1,0,1719
"google/gemini-2.5-flash",huggingface-01-aug-26.pdf,huggingface-01-aug-26,huggingface-01-aug-26,1,1,1,2335
"google/gemini-2.5-flash",inngest-01-sep-26.pdf,inngest-01-sep-26,inngest-01-sep-26,1,1,1,2597
"google/gemini-2.5-flash",linear-27-aug-26.pdf,linear-27-aug-26,linear-orbit-27-aug-26,0,1,0,2106
"google/gemini-2.5-flash",neon-01-sep-26.pdf,neon-01-sep-26,neon-01-sep-26,1,1,1,1342
"google/gemini-2.5-flash",vercel-04-aug-26.pdf,vercel-04-aug-26,vercel-04-aug-26,1,1,1,1483
"google/gemini-2.5-flash",uber-eats-18-jun-26.pdf,uber-eats-18-jun-26,uber-18-jun-26,0,1,0,3947
"google/gemini-2.5-flash",woolworths-01-jun-25.pdf,woolworths-01-jun-25,woolworths--non-,0,0,0,9338
"google/gemini-2.5-flash",comfort-suites-03-aug-26.pdf,comfort-suites-03-aug-26,comfort-suites-03-aug-26,1,1,1,3939
"google/gemini-2.5-flash",TOTAL,,,6,9,6,3086
"google/gemini-2.5-flash-lite",github-21-jul-26.pdf,github-21-jul-26,github-21-jul-26,1,1,1,868
"google/gemini-2.5-flash-lite",google-30-jun-26.pdf,google-30-jun-26,googlecloud-30-jun-26,0,1,0,849
"google/gemini-2.5-flash-lite",huggingface-01-aug-26.pdf,huggingface-01-aug-26,huggingface-01-aug-26,1,1,1,762
"google/gemini-2.5-flash-lite",inngest-01-sep-26.pdf,inngest-01-sep-26,inngest-01-sep-26,1,1,1,810
"google/gemini-2.5-flash-lite",linear-27-aug-26.pdf,linear-27-aug-26,linearorbit-27-aug-26,0,1,0,931
"google/gemini-2.5-flash-lite",neon-01-sep-26.pdf,neon-01-sep-26,neon-01-sep-26,1,1,1,783
"google/gemini-2.5-flash-lite",vercel-04-aug-26.pdf,vercel-04-aug-26,vercel-04-aug-26,1,1,1,1008
"google/gemini-2.5-flash-lite",uber-eats-18-jun-26.pdf,uber-eats-18-jun-26,bossabowls-18-jun-26,0,1,0,1031
"google/gemini-2.5-flash-lite",woolworths-01-jun-25.pdf,woolworths-01-jun-25,woolworths-01-jan-23,0,1,1,1085
"google/gemini-2.5-flash-lite",comfort-suites-03-aug-26.pdf,comfort-suites-03-aug-26,comfortsuites-03-aug-26,0,1,0,889
"google/gemini-2.5-flash-lite",TOTAL,,,5,10,6,901
"openai/gpt-4o-mini",github-21-jul-26.pdf,github-21-jul-26,github-21-jul-26,1,1,1,1025
"openai/gpt-4o-mini",google-30-jun-26.pdf,google-30-jun-26,google-cloud-30-jun-26,0,1,0,1510
"openai/gpt-4o-mini",huggingface-01-aug-26.pdf,huggingface-01-aug-26,hugging-face-01-aug-26,0,1,0,1264
"openai/gpt-4o-mini",inngest-01-sep-26.pdf,inngest-01-sep-26,inngest-01-sep-26,1,1,1,1240
"openai/gpt-4o-mini",linear-27-aug-26.pdf,linear-27-aug-26,linear-orbit-27-aug-26,0,1,0,1126
"openai/gpt-4o-mini",neon-01-sep-26.pdf,neon-01-sep-26,neon-01-sep-26,1,1,1,1556
"openai/gpt-4o-mini",vercel-04-aug-26.pdf,vercel-04-aug-26,vercel-04-aug-26,1,1,1,1499
"openai/gpt-4o-mini",uber-eats-18-jun-26.pdf,uber-eats-18-jun-26,uber-eats-18-jun-26,1,1,1,1194
"openai/gpt-4o-mini",woolworths-01-jun-25.pdf,woolworths-01-jun-25,woolworths-01-jan-24,0,1,1,1479
"openai/gpt-4o-mini",comfort-suites-03-aug-26.pdf,comfort-suites-03-aug-26,comfort-suites-03-aug-26,1,1,1,1408
"openai/gpt-4o-mini",TOTAL,,,6,10,7,1330
"openai/gpt-5-nano",github-21-jul-26.pdf,github-21-jul-26,github-21-jul-26,1,1,1,5128
"openai/gpt-5-nano",google-30-jun-26.pdf,google-30-jun-26,google-cloud-30-jun-26,0,1,0,5189
"openai/gpt-5-nano",huggingface-01-aug-26.pdf,huggingface-01-aug-26,hugging-face-inc-01-aug-26,0,1,0,4952
"openai/gpt-5-nano",inngest-01-sep-26.pdf,inngest-01-sep-26,inngest-inc-01-sep-26,0,1,0,5121
"openai/gpt-5-nano",linear-27-aug-26.pdf,linear-27-aug-26,linear-orbit-inc-27-aug-26,0,1,0,4621
"openai/gpt-5-nano",neon-01-sep-26.pdf,neon-01-sep-26,neon-llc-01-sep-26,0,1,0,5715
"openai/gpt-5-nano",vercel-04-aug-26.pdf,vercel-04-aug-26,vercel-04-aug-26,1,1,1,4081
"openai/gpt-5-nano",uber-eats-18-jun-26.pdf,uber-eats-18-jun-26,bossabowls-19-jun-26,0,1,0,11655
"openai/gpt-5-nano",woolworths-01-jun-25.pdf,woolworths-01-jun-25,woolworths-01-jan-26,0,1,1,11014
"openai/gpt-5-nano",comfort-suites-03-aug-26.pdf,comfort-suites-03-aug-26,comfort-suites-17-jun-26,0,1,1,13471
"openai/gpt-5-nano",TOTAL,,,2,10,4,7094
"anthropic/claude-haiku-4.5",github-21-jul-26.pdf,github-21-jul-26,github-21-jul-26,1,1,1,1152
"anthropic/claude-haiku-4.5",google-30-jun-26.pdf,google-30-jun-26,google-cloud-30-jun-26,0,1,0,1108
"anthropic/claude-haiku-4.5",huggingface-01-aug-26.pdf,huggingface-01-aug-26,hugging-face-01-aug-26,0,1,0,1177
"anthropic/claude-haiku-4.5",inngest-01-sep-26.pdf,inngest-01-sep-26,inngest-01-sep-26,1,1,1,942
"anthropic/claude-haiku-4.5",linear-27-aug-26.pdf,linear-27-aug-26,linear-27-aug-26,1,1,1,1049
"anthropic/claude-haiku-4.5",neon-01-sep-26.pdf,neon-01-sep-26,neon-01-sep-26,1,1,1,1039
"anthropic/claude-haiku-4.5",vercel-04-aug-26.pdf,vercel-04-aug-26,vercel-04-aug-26,1,1,1,1097
"anthropic/claude-haiku-4.5",uber-eats-18-jun-26.pdf,uber-eats-18-jun-26,uber-eats-18-jun-26,1,1,1,1173
"anthropic/claude-haiku-4.5",woolworths-01-jun-25.pdf,woolworths-01-jun-25,woolworths--non-,0,0,0,1616
"anthropic/claude-haiku-4.5",comfort-suites-03-aug-26.pdf,comfort-suites-03-aug-26,comfort-suites-08-mar-26,0,1,1,1306
"anthropic/claude-haiku-4.5",TOTAL,,,6,9,7,1165
"meta/llama-4-scout",github-21-jul-26.pdf,github-21-jul-26,github-21-jul-26,1,1,1,683
"meta/llama-4-scout",google-30-jun-26.pdf,google-30-jun-26,google-cloud-30-jun-26,0,1,0,618
"meta/llama-4-scout",huggingface-01-aug-26.pdf,huggingface-01-aug-26,huggingface-01-aug-26,1,1,1,597
