model,sample,expected,got,exact,valid_format,vendor_ok,ms
"LiquidAI/lfm2.5-350m:q4_k_m",github-21-jul-26.pdf,github-21-jul-26,github-07-jul-26,0,1,1,214
"LiquidAI/lfm2.5-350m:q4_k_m",google-30-jun-26.pdf,google-30-jun-26,console-01-jan-26,0,1,0,181
"LiquidAI/lfm2.5-350m:q4_k_m",huggingface-01-aug-26.pdf,huggingface-01-aug-26,github-01-may-26,0,1,0,156
"LiquidAI/lfm2.5-350m:q4_k_m",inngest-01-sep-26.pdf,inngest-01-sep-26,aws-15-dec-24,0,1,0,157
"LiquidAI/lfm2.5-350m:q4_k_m",linear-27-aug-26.pdf,linear-27-aug-26,linearorbitinc-27-aug-26,0,1,0,167
"LiquidAI/lfm2.5-350m:q4_k_m",neon-01-sep-26.pdf,neon-01-sep-26,kebab-01-jan-26,0,1,0,155
"LiquidAI/lfm2.5-350m:q4_k_m",vercel-04-aug-26.pdf,vercel-04-aug-26,vercel-04-aug-26,1,1,1,165
"LiquidAI/lfm2.5-350m:q4_k_m",uber-eats-18-jun-26.pdf,uber-eats-18-jun-26,ahmed-10-pou-26,0,0,0,183
"LiquidAI/lfm2.5-350m:q4_k_m",woolworths-01-jun-25.pdf,woolworths-01-jun-25,kebab-01-jan-26,0,1,0,199
"LiquidAI/lfm2.5-350m:q4_k_m",comfort-suites-03-aug-26.pdf,comfort-suites-03-aug-26,choicehotels-02-feb-26,0,1,0,348
"LiquidAI/lfm2.5-350m:q4_k_m",TOTAL,,,1,9,2,192
"LiquidAI/lfm2.5-1.2b-instruct:q4_k_m",github-21-jul-26.pdf,github-21-jul-26,github-21-jul-26,1,1,1,336
"LiquidAI/lfm2.5-1.2b-instruct:q4_k_m",google-30-jun-26.pdf,google-30-jun-26,vercel-01-jun-26,0,1,0,300
"LiquidAI/lfm2.5-1.2b-instruct:q4_k_m",huggingface-01-aug-26.pdf,huggingface-01-aug-26,stripe-01-aug-26,0,1,0,306
"LiquidAI/lfm2.5-1.2b-instruct:q4_k_m",inngest-01-sep-26.pdf,inngest-01-sep-26,inngest-01-sep-26,1,1,1,306
"LiquidAI/lfm2.5-1.2b-instruct:q4_k_m",linear-27-aug-26.pdf,linear-27-aug-26,linear-27-aug-26,1,1,1,278
"LiquidAI/lfm2.5-1.2b-instruct:q4_k_m",neon-01-sep-26.pdf,neon-01-sep-26,stripe-01-sep-26,0,1,0,284
"LiquidAI/lfm2.5-1.2b-instruct:q4_k_m",vercel-04-aug-26.pdf,vercel-04-aug-26,vercel-04-aug-26,1,1,1,287
"LiquidAI/lfm2.5-1.2b-instruct:q4_k_m",uber-eats-18-jun-26.pdf,uber-eats-18-jun-26,vercel-18-jun-26,0,1,0,290
"LiquidAI/lfm2.5-1.2b-instruct:q4_k_m",woolworths-01-jun-25.pdf,woolworths-01-jun-25,woolworthsgroup-01-jan-26,0,1,0,391
"LiquidAI/lfm2.5-1.2b-instruct:q4_k_m",comfort-suites-03-aug-26.pdf,comfort-suites-03-aug-26,stripe-03--26,0,0,0,786
"LiquidAI/lfm2.5-1.2b-instruct:q4_k_m",TOTAL,,,4,9,4,356
"hf.co/LiquidAI/LFM2.5-VL-1.6B-Extract-GGUF:q4_k_m",github-21-jul-26.pdf,github-21-jul-26,aws-15-jul-26,0,1,0,17901
"hf.co/LiquidAI/LFM2.5-VL-1.6B-Extract-GGUF:q4_k_m",google-30-jun-26.pdf,google-30-jun-26,aws-15-jun-26,0,1,0,445
"hf.co/LiquidAI/LFM2.5-VL-1.6B-Extract-GGUF:q4_k_m",huggingface-01-aug-26.pdf,huggingface-01-aug-26,stripe-01-jul-26,0,1,0,378
"hf.co/LiquidAI/LFM2.5-VL-1.6B-Extract-GGUF:q4_k_m",inngest-01-sep-26.pdf,inngest-01-sep-26,aws-15-sep-26,0,1,0,350
"hf.co/LiquidAI/LFM2.5-VL-1.6B-Extract-GGUF:q4_k_m",linear-27-aug-26.pdf,linear-27-aug-26,linear-01-jun-26,0,1,1,482
"hf.co/LiquidAI/LFM2.5-VL-1.6B-Extract-GGUF:q4_k_m",neon-01-sep-26.pdf,neon-01-sep-26,stripe-01-mar-26,0,1,0,385
"hf.co/LiquidAI/LFM2.5-VL-1.6B-Extract-GGUF:q4_k_m",vercel-04-aug-26.pdf,vercel-04-aug-26,stripe-04-mar-26,0,1,0,383
"hf.co/LiquidAI/LFM2.5-VL-1.6B-Extract-GGUF:q4_k_m",uber-eats-18-jun-26.pdf,uber-eats-18-jun-26,aws-15-dec-26,0,1,0,452
"hf.co/LiquidAI/LFM2.5-VL-1.6B-Extract-GGUF:q4_k_m",woolworths-01-jun-25.pdf,woolworths-01-jun-25,aws-15-mar-24,0,1,0,483
"hf.co/LiquidAI/LFM2.5-VL-1.6B-Extract-GGUF:q4_k_m",comfort-suites-03-aug-26.pdf,comfort-suites-03-aug-26,aws-15-mar-24,0,1,0,1119
"hf.co/LiquidAI/LFM2.5-VL-1.6B-Extract-GGUF:q4_k_m",TOTAL,,,0,10,1,2237
