model,sample,expected,got,exact,valid_format,vendor_ok,ms,source
LiquidAI/lfm2.5-1.2b-instruct:q4_k_m,github-21-jul-26,github-21-jul-26,github-21-jul-26,1,1,1,172,local
LiquidAI/lfm2.5-1.2b-instruct:q4_k_m,google-30-jun-26,google-30-jun-26,github-01-jun-26,0,1,0,211,local
LiquidAI/lfm2.5-1.2b-instruct:q4_k_m,huggingface-01-aug-26,huggingface-01-aug-26,huggingface-01-aug-26,1,1,1,247,local
LiquidAI/lfm2.5-1.2b-instruct:q4_k_m,inngest-01-sep-26,inngest-01-sep-26,inngest-01-sep-26,1,1,1,242,local
LiquidAI/lfm2.5-1.2b-instruct:q4_k_m,linear-27-aug-26,linear-27-aug-26,linear-27-aug-26,1,1,1,136,local
LiquidAI/lfm2.5-1.2b-instruct:q4_k_m,neon-01-sep-26,neon-01-sep-26,github-01-sep-26,0,1,0,134,local
LiquidAI/lfm2.5-1.2b-instruct:q4_k_m,vercel-04-aug-26,vercel-04-aug-26,vercel-08-aug-26,0,1,1,132,local
LiquidAI/lfm2.5-1.2b-instruct:q4_k_m,uber-eats-18-jun-26,uber-eats-18-jun-26,uber-eats-18-jun-26,1,1,1,141,local
LiquidAI/lfm2.5-1.2b-instruct:q4_k_m,woolworths-01-jun-25,woolworths-01-jun-25,woolworths-group-01-jan-24,0,1,0,153,local
LiquidAI/lfm2.5-1.2b-instruct:q4_k_m,comfort-suites-03-aug-26,comfort-suites-03-aug-26,hugging-face-05-may-26,0,1,0,142,local
LiquidAI/lfm2.5-350m:q4_k_m,github-21-jul-26,github-21-jul-26,github-131-may-,0,0,0,904,local
LiquidAI/lfm2.5-350m:q4_k_m,google-30-jun-26,google-30-jun-26,google-cloud-131-six-,0,0,0,130,local
LiquidAI/lfm2.5-350m:q4_k_m,huggingface-01-aug-26,huggingface-01-aug-26,hugging-face-131-se-,0,0,0,111,local
LiquidAI/lfm2.5-350m:q4_k_m,inngest-01-sep-26,inngest-01-sep-26,american-express-09-sep-26,0,1,0,127,local
LiquidAI/lfm2.5-350m:q4_k_m,linear-27-aug-26,linear-27-aug-26,linear-business-27-aug-26,0,1,0,129,local
LiquidAI/lfm2.5-350m:q4_k_m,neon-01-sep-26,neon-01-sep-26,huggingface-131-se-,0,0,0,124,local
LiquidAI/lfm2.5-350m:q4_k_m,vercel-04-aug-26,vercel-04-aug-26,vercel-131-aug-,0,0,0,118,local
LiquidAI/lfm2.5-350m:q4_k_m,uber-eats-18-jun-26,uber-eats-18-jun-26,ahmed-10-jun-26,0,1,0,139,local
LiquidAI/lfm2.5-350m:q4_k_m,woolworths-01-jun-25,woolworths-01-jun-25,giftcardswoolworthscomau-131-may-,0,0,0,172,local
LiquidAI/lfm2.5-350m:q4_k_m,comfort-suites-03-aug-26,comfort-suites-03-aug-26,american-express-02-feb-26,0,1,0,256,local
mistral:latest,github-21-jul-26,github-21-jul-26,github-21-jul-26,1,1,1,3787,local
mistral:latest,google-30-jun-26,google-30-jun-26,googlecloud-01-jun-26,0,1,0,1126,local
mistral:latest,huggingface-01-aug-26,huggingface-01-aug-26,huggingface-01-aug-26,1,1,1,973,local
mistral:latest,inngest-01-sep-26,inngest-01-sep-26,inngest-01-sep-26,1,1,1,759,local
mistral:latest,linear-27-aug-26,linear-27-aug-26,linear-27-aug-26,1,1,1,974,local
mistral:latest,neon-01-sep-26,neon-01-sep-26,neon-01-sep-26,1,1,1,1099,local
mistral:latest,vercel-04-aug-26,vercel-04-aug-26,vercel-04-aug-26,1,1,1,1030,local
mistral:latest,uber-eats-18-jun-26,uber-eats-18-jun-26,uber-18-jun-26,0,1,0,1170,local
mistral:latest,woolworths-01-jun-25,woolworths-01-jun-25,prezzee-01-jan-22,0,1,0,1846,local
mistral:latest,comfort-suites-03-aug-26,comfort-suites-03-aug-26,stayatchoice-05-may-26,0,1,0,5614,local
gemma2:9b,github-21-jul-26,github-21-jul-26,github-21-jul-26,1,1,1,2839,local
gemma2:9b,google-30-jun-26,google-30-jun-26,google-cloud-30-jun-26,0,1,0,1685,local
gemma2:9b,huggingface-01-aug-26,huggingface-01-aug-26,huggingface-01-aug-26,1,1,1,1557,local
gemma2:9b,inngest-01-sep-26,inngest-01-sep-26,inngest-01-sep-26,1,1,1,1393,local
gemma2:9b,linear-27-aug-26,linear-27-aug-26,linear-27-aug-26,1,1,1,1556,local
gemma2:9b,neon-01-sep-26,neon-01-sep-26,neon-01-sep-26,1,1,1,1804,local
gemma2:9b,vercel-04-aug-26,vercel-04-aug-26,vercel-04-aug-26,1,1,1,1707,local
gemma2:9b,uber-eats-18-jun-26,uber-eats-18-jun-26,uber-eats-18-jun-26,1,1,1,1762,local
gemma2:9b,woolworths-01-jun-25,woolworths-01-jun-25,woolworths---,0,0,0,2389,local
gemma2:9b,comfort-suites-03-aug-26,comfort-suites-03-aug-26,comfort-suites-05-may-26,0,1,1,6792,local
