model,sample,expected,got,exact,valid_format,vendor_ok,ms,source
meta/llama-4-scout,github-21-jul-26,github-21-jul-26,github-21-jul-26,1,1,1,775,gateway
meta/llama-4-scout,google-30-jun-26,google-30-jun-26,google-30-jun-26,1,1,1,616,gateway
meta/llama-4-scout,huggingface-01-aug-26,huggingface-01-aug-26,huggingface-01-aug-26,1,1,1,600,gateway
meta/llama-4-scout,inngest-01-sep-26,inngest-01-sep-26,inngest-01-sep-26,1,1,1,611,gateway
meta/llama-4-scout,linear-27-aug-26,linear-27-aug-26,linear-27-aug-26,1,1,1,641,gateway
meta/llama-4-scout,neon-01-sep-26,neon-01-sep-26,neon-01-sep-26,1,1,1,734,gateway
meta/llama-4-scout,vercel-04-aug-26,vercel-04-aug-26,vercel-04-aug-26,1,1,1,658,gateway
meta/llama-4-scout,uber-eats-18-jun-26,uber-eats-18-jun-26,uber-eats-18-jun-26,1,1,1,649,gateway
meta/llama-4-scout,woolworths-01-jun-25,woolworths-01-jun-25,woolworths---,0,0,0,1144,gateway
meta/llama-4-scout,comfort-suites-03-aug-26,comfort-suites-03-aug-26,comfortsuites-18-jun-26,0,1,0,1004,gateway
moonshotai/kimi-k2.5,github-21-jul-26,github-21-jul-26,github-21-jul-26,1,1,1,1090,gateway
moonshotai/kimi-k2.5,google-30-jun-26,google-30-jun-26,google-cloud-30-jun-26,0,1,0,981,gateway
moonshotai/kimi-k2.5,huggingface-01-aug-26,huggingface-01-aug-26,huggingface-01-aug-26,1,1,1,942,gateway
moonshotai/kimi-k2.5,inngest-01-sep-26,inngest-01-sep-26,inngest-01-sep-26,1,1,1,1028,gateway
moonshotai/kimi-k2.5,linear-27-aug-26,linear-27-aug-26,linear-27-aug-26,1,1,1,916,gateway
moonshotai/kimi-k2.5,neon-01-sep-26,neon-01-sep-26,neon-01-sep-26,1,1,1,1746,gateway
moonshotai/kimi-k2.5,vercel-04-aug-26,vercel-04-aug-26,vercel-04-aug-26,1,1,1,919,gateway
moonshotai/kimi-k2.5,uber-eats-18-jun-26,uber-eats-18-jun-26,uber-eats-18-jun-26,1,1,1,1715,gateway
